Date,Close
1/2/1976,90.90
1/5/1976,92.60
1/6/1976,93.50
1/7/1976,93.90
1/8/1976,94.60
1/9/1976,94.90
1/12/1976,96.30
1/13/1976,95.60
1/14/1976,97.10
1/15/1976,96.60
1/16/1976,97.00
1/19/1976,98.30
1/20/1976,98.90
1/21/1976,98.20
1/22/1976,98.00
1/23/1976,99.20
1/26/1976,99.70
1/27/1976,99.10
1/28/1976,98.50
1/29/1976,100.10
1/30/1976,100.90
2/2/1976,100.90
2/3/1976,101.20
2/4/1976,101.90
2/5/1976,100.40
2/6/1976,99.50
2/9/1976,99.60
2/10/1976,100.50
2/11/1976,100.80
2/12/1976,100.30
2/13/1976,99.70
2/17/1976,99.10
2/18/1976,99.80
2/19/1976,101.40
2/20/1976,102.10
2/23/1976,101.60
2/24/1976,102.00
2/25/1976,101.70
2/26/1976,100.10
2/27/1976,99.70
3/1/1976,100.00
3/2/1976,100.60
3/3/1976,100.00
3/4/1976,98.90
3/5/1976,99.10
3/8/1976,100.20
3/9/1976,100.60
3/10/1976,100.90
3/11/1976,101.90
3/12/1976,100.90
3/15/1976,99.80
3/16/1976,100.90
3/17/1976,100.90
3/18/1976,100.40
3/19/1976,100.60
3/22/1976,100.70
3/23/1976,102.20
3/24/1976,103.40
3/25/1976,102.80
3/26/1976,102.80
3/29/1976,102.40
3/30/1976,102.00
3/31/1976,102.80
4/1/1976,102.20
4/2/1976,102.30
4/5/1976,103.50
4/6/1976,103.40
4/7/1976,102.20
4/8/1976,101.30
4/9/1976,100.30
4/12/1976,100.20
4/13/1976,101.10
4/14/1976,100.30
4/15/1976,100.70
4/19/1976,101.40
4/20/1976,102.90
4/21/1976,103.30
4/22/1976,103.00
4/23/1976,102.30
4/26/1976,102.40
4/27/1976,101.90
4/28/1976,102.10
4/29/1976,102.10
4/30/1976,101.60
5/3/1976,100.90
5/4/1976,101.50
5/5/1976,100.90
5/6/1976,101.20
5/7/1976,101.90
5/10/1976,103.10
5/11/1976,102.90
5/12/1976,102.80
5/13/1976,102.20
5/14/1976,101.30
5/17/1976,101.10
5/18/1976,101.30
5/19/1976,101.20
5/20/1976,102.00
5/21/1976,101.30
5/24/1976,99.40
5/25/1976,99.50
5/26/1976,99.30
5/27/1976,99.40
5/28/1976,100.20
